name,terminology,code,term
diabetes_type2,SNOMED-CT,16745651000119101,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16745931000119102,Mild nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 2 (disorder)
diabetes_type2,SNOMED-CT,16746131000119105,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder)
diabetes_type2,SNOMED-CT,16746261000119108,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder)
diabetes_type2,SNOMED-CT,16746341000119103,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16746661000119106,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
diabetes_type1,SNOMED-CT,16746741000119102,Nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16746901000119101,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16746941000119104,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16747021000119109,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16747101000119101,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16747141000119104,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16747341000119101,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16747661000119109,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16747741000119100,Proliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16747901000119104,Proliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder)
diabetes_type2,SNOMED-CT,16748141000119100,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16748741000119101,Proliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16749661000119102,Proliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16749781000119101,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
diabetes_other,SNOMED-CT,16890881000119106,History of proliferative retinopathy due to diabetes mellitus (situation)
diabetes_type2,SNOMED-CT,16891151000119103,Coronary artery disease due to type 2 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,16891191000119108,Coronary artery disease due to type 1 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,170745003,Diabetic on diet only (finding)
diabetes_other,SNOMED-CT,170747006,Diabetic on insulin
diabetes_other,SNOMED-CT,170763003,Diabetic - good control
diabetes_other,SNOMED-CT,170766006,Loss of hypoglycemic warning due to diabetes mellitus
diabetes_type1,SNOMED-CT,18521000119106,Microalbuminuria due to type 1 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,190329007,Diabetes mellitus with hyperosmolar coma
diabetes_type1,SNOMED-CT,190330002,Hyperosmolar coma due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,190331003,Hyperosmolar coma due to type 2 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,190368000,Type I diabetes mellitus with ulcer (disorder)
diabetes_type1,SNOMED-CT,190369008,Type I diabetes mellitus with gangrene (disorder)
diabetes_type1,SNOMED-CT,190372001,Type I diabetes mellitus maturity onset
diabetes_type2,SNOMED-CT,190388001,Multiple complications due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,190389009,Type II diabetes mellitus with ulcer (disorder)
diabetes_type2,SNOMED-CT,190390000,Type II diabetes mellitus with gangrene (disorder)
diabetes_other,SNOMED-CT,190406000,Ketoacidosis due to malnutrition related diabetes mellitus
diabetes_other,SNOMED-CT,190407009,Malnutrition-related diabetes mellitus with renal complications
diabetes_other,SNOMED-CT,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications
diabetes_other,SNOMED-CT,190411003,Multiple complications due to malnutrition related diabetes
diabetes_other,SNOMED-CT,190412005,Malnutrition-related diabetes mellitus without complications
diabetes_other,SNOMED-CT,190416008,Steroid-induced diabetes mellitus without complication (disorder)
diabetes_other,SNOMED-CT,190447002,Steroid-induced diabetes
diabetes_other,SNOMED-CT,193141005,Mononeuritis multiplex due to diabetes mellitus
diabetes_other,SNOMED-CT,193183000,Acute painful neuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,193184006,Chronic painful neuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,193185007,Asymptomatic neuropathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,193349004,Preproliferative retinopathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,193350004,Advanced maculopathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,193489006,Iritis due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,19378003,Pseudotabes due to diabetes mellitus
diabetes_other,SNOMED-CT,197605007,Nephrotic syndrome due to diabetes mellitus
diabetes_other,SNOMED-CT,198121000000103,Hypoglycaemic warning impaired
diabetes_other,SNOMED-CT,198131000000101,Hypoglycaemic warning good (disorder)
diabetes_gestational,SNOMED-CT,199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium"
diabetes_type1,SNOMED-CT,199229001,Pre-existing type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,199230006,Pre-existing type 2 diabetes mellitus
diabetes_other,SNOMED-CT,199231005,Pre-existing malnutrition-related diabetes mellitus
diabetes_other,SNOMED-CT,200687002,Cellulitis of foot due to diabetes mellitus
diabetes_type2,SNOMED-CT,201000119106,Disorder due to well controlled type 2 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,201250006,Ischemic ulcer of foot due to diabetes mellitus
diabetes_other,SNOMED-CT,201251005,Neuropathic ulcer of foot due to diabetes mellitus
diabetes_other,SNOMED-CT,201252003,Mixed diabetic ulcer - foot
diabetes_other,SNOMED-CT,201723002,Cheiroarthropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,201724008,Neuropathic arthropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,20678000,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND autoantibodies to the insulin receptors"
diabetes_type1,SNOMED-CT,23045005,Insulin dependent diabetes mellitus type IA (disorder)
diabetes_other,SNOMED-CT,230572002,Neuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,230573007,Diabetic distal sensorimotor polyneuropathy
diabetes_other,SNOMED-CT,230574001,Acute painful polyneuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,230575000,Chronic painful polyneuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,230576004,Asymmetric polyneuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,230577008,Mononeuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,230578003,Diabetic truncal radiculopathy
diabetes_other,SNOMED-CT,230579006,Thoracic radiculopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,232020009,Disorder of macula due to diabetes mellitus
diabetes_other,SNOMED-CT,232021008,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus
diabetes_other,SNOMED-CT,232022001,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus
diabetes_other,SNOMED-CT,232023006,Traction detachment of retina due to diabetes mellitus
diabetes_other,SNOMED-CT,236499007,Microalbuminuric nephropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,236500003,Proteinuric nephropathy due to diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,237599002,Insulin treated type 2 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,237600004,Malnutrition-related diabetes mellitus - fibrocalculous
diabetes_other,SNOMED-CT,237601000,Secondary endocrine diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,237604008,"Maturity onset diabetes of the young, type 2"
diabetes_other,SNOMED-CT,237608006,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus"
diabetes_other,SNOMED-CT,237610008,"Acrorenal field defect, ectodermal dysplasia, and lipoatrophic diabetes"
diabetes_other,SNOMED-CT,237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
diabetes_other,SNOMED-CT,237616002,"Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities"
diabetes_other,SNOMED-CT,237617006,Megaloblastic anemia thiamine-responsive with diabetes mellitus and sensorineural deafness (disorder)
diabetes_other,SNOMED-CT,237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome
diabetes_other,SNOMED-CT,237619009,Diabetes-deafness syndrome maternally transmitted
